ClusterID,t0_mean_x,t0_mean_y,t0_mean_z,t0_evals_x,t0_evals_y,t0_evals_z,t0_cov(0:0),t0_cov(0:1),t0_cov(0:2),t0_cov(1:0),t0_cov(1:1),t0_cov(1:2),t0_cov(2:0),t0_cov(2:1),t0_cov(2:2),t0_evecs(0:0),t0_evecs(0:1),t0_evecs(0:2),t0_evecs(1:0),t0_evecs(1:1),t0_evecs(1:2),t0_evecs(2:0),t0_evecs(2:1),t0_evecs(2:2),t1_mean_x,t1_mean_y,t1_mean_z,t1_evals_x,t1_evals_y,t1_evals_z,t1_cov(0:0),t1_cov(0:1),t1_cov(0:2),t1_cov(1:0),t1_cov(1:1),t1_cov(1:2),t1_cov(2:0),t1_cov(2:1),t1_cov(2:2),t1_evecs(0:0),t1_evecs(0:1),t1_evecs(0:2),t1_evecs(1:0),t1_evecs(1:1),t1_evecs(1:2),t1_evecs(2:0),t1_evecs(2:1),t1_evecs(2:2),t2_mean_x,t2_mean_y,t2_mean_z,t2_evals_x,t2_evals_y,t2_evals_z,t2_cov(0:0),t2_cov(0:1),t2_cov(0:2),t2_cov(1:0),t2_cov(1:1),t2_cov(1:2),t2_cov(2:0),t2_cov(2:1),t2_cov(2:2),t2_evecs(0:0),t2_evecs(0:1),t2_evecs(0:2),t2_evecs(1:0),t2_evecs(1:1),t2_evecs(1:2),t2_evecs(2:0),t2_evecs(2:1),t2_evecs(2:2),t3_mean_x,t3_mean_y,t3_mean_z,t3_evals_x,t3_evals_y,t3_evals_z,t3_cov(0:0),t3_cov(0:1),t3_cov(0:2),t3_cov(1:0),t3_cov(1:1),t3_cov(1:2),t3_cov(2:0),t3_cov(2:1),t3_cov(2:2),t3_evecs(0:0),t3_evecs(0:1),t3_evecs(0:2),t3_evecs(1:0),t3_evecs(1:1),t3_evecs(1:2),t3_evecs(2:0),t3_evecs(2:1),t3_evecs(2:2),Label
N1475.P3418.N101,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-14.7536,34.1837,-1.01454,0.000636244,0.00128022,1.28594,1.2857,0.0161584,0.00693602,0.0161584,0.000868216,0.000220316,0.00693602,0.000220316,0.0012889,-0.0111477,-0.00793699,0.999906,0.977327,0.211364,0.0125737,-0.211444,0.977375,0.00540082,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-15.1195,34.0037,-0.995032,0.000538562,0.00165272,1.47513,1.4749,0.0158558,0.00937408,0.0158558,0.000720424,0.000212658,0.00937408,0.000212658,0.00170104,0.0100575,-0.00741531,0.999922,-0.994847,0.100818,0.0107541,0.10089,0.994877,0.00636312,0
N1503.P3420.N49,-15.0355,34.2014,-0.497591,0.000843703,0.0221552,1.42527,1.42519,0.00849199,-0.00607532,0.00849199,0.000913873,0.000608794,-0.00607532,0.000608794,0.0221619,-0.00608833,-0.00414469,0.999973,0.999523,-0.0303044,0.00595999,-0.0302789,-0.999532,-0.00432721,-15.0078,34.1698,-0.31818,0.000613661,0.018579,1.38429,1.38378,0.00965635,-0.024588,0.00965635,0.000756184,-0.00133103,-0.024588,-0.00133103,0.018947,0.00581743,-0.0184264,0.999813,-0.997891,0.0645297,0.00699552,-0.0646465,-0.997746,-0.0180121,-15.1976,34.139,-0.344599,0.000684318,0.0276196,1.44572,1.44484,0.0123729,-0.0329302,0.0123729,0.00137217,-0.0041991,-0.0329302,-0.0041991,0.0278042,0.00512406,-0.0242585,0.999693,-0.989134,0.146766,0.00863136,-0.14693,-0.988874,-0.0232428,-15.1214,34.047,-0.346764,0.00200851,0.0259659,1.44276,1.44264,0.0109455,0.00761506,0.0109455,0.00454993,-0.007212,0.00761506,-0.007212,0.0235481,-0.00889027,0.00261695,0.999957,0.94727,0.320347,0.00758348,0.320313,-0.947297,0.00532693,1
N157.P3431.N46,-1.57498,34.3128,-0.466829,0.000552454,0.00619946,0.354991,0.354944,-0.0019444,0.00355623,-0.0019444,0.0007704,-0.00108143,0.00355623,-0.00108143,0.00602855,0.00346252,-0.0110757,0.999933,0.981472,-0.191527,-0.00552002,0.191575,0.981425,0.0102073,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
N158.N798.P122,-1.5861,-7.98764,1.2213,0.00200721,0.00515622,2.25895,0.00503057,-0.000644454,-0.00455105,-0.000644454,0.00214728,0.00343194,-0.00455105,0.00343194,2.25893,-0.206933,-0.978353,0.0020196,-0.978354,0.20693,-0.00152128,0.00107043,-0.00229069,-0.999997,-1.55033,-7.98839,0.979351,0.00180468,0.00449798,2.0365,0.00447229,-0.000294686,-0.00312241,-0.000294686,0.00185508,0.0063665,-0.00312241,0.0063665,2.03647,-0.10639,-0.994323,0.00153705,-0.99432,0.106385,-0.00312926,0.00294798,-0.00186124,-0.999994,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-1.5815,-8.05346,1.38286,0.00315141,0.00553137,3.05577,0.0043762,0.00118932,-0.00170538,0.00118932,0.00430756,0.000327369,-0.00170538,0.000327369,3.05577,0.696974,-0.717097,0.000558843,-0.717097,-0.696974,-0.000107065,0.000466275,-0.000326123,-1,0
N159.N801.P243,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-1.59921,-8.01692,2.43188,0.00152987,0.00315072,1.95512,0.00313821,-0.000298948,-0.00925403,-0.000298948,0.00158634,0.000409936,-0.00925403,0.000409936,1.95507,-0.186509,-0.982442,0.00474083,-0.982453,0.18651,-0.000210567,-0.000677343,-0.00469691,-0.999989,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
N159.N802.N46,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-1.59425,-8.02201,-0.468339,0.00164695,0.00333105,0.206758,0.00329235,-0.000267556,-0.00101447,-0.000267556,0.00169073,-7.39777e-05,-0.00101447,-7.39777e-05,0.206753,-0.161193,-0.98691,0.00498543,-0.986922,0.161196,0.000354239,-0.00115324,-0.00486313,-0.999988,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
N1617.P3056.P216,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-16.1729,30.565,2.16652,0.000592984,0.0429682,0.0989361,0.0874547,0.00128024,0.0252566,0.00128024,0.0204083,0.0233617,0.0252566,0.0233617,0.0346343,0.175784,-0.388391,0.904573,0.74597,0.652144,0.135044,-0.642362,0.651046,0.404364,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
N164.P3430.N101,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-1.64151,34.3034,-1.01224,0.000375595,0.00117136,0.323423,0.323401,0.00105214,-0.00244821,0.00105214,0.000388969,-9.63852e-05,-0.00244821,-9.63852e-05,0.00118002,0.00238943,-0.00791482,0.999966,-0.993728,0.111773,0.00325922,-0.111795,-0.993702,-0.00759811,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-1.7508,34.1394,-0.97226,0.000996168,0.00475807,0.329247,0.3292,0.00388505,-0.000560036,0.00388505,0.0011471,-0.000626133,-0.000560036,-0.000626133,0.00465413,-0.0113853,-0.0037014,0.999928,0.985889,0.16698,0.0118435,0.167011,-0.985953,-0.00174807,0
N1667.P490.N60,-16.6786,4.90905,-0.602894,0.00070925,0.0086172,0.0506467,0.00109287,0.00110564,0.00302491,0.00110564,0.00852744,-0.00221162,0.00302491,-0.00221162,0.0503528,0.985112,-0.161207,0.0597221,-0.158288,-0.986086,-0.0507792,-0.0670771,-0.0405699,0.996923,-16.6508,4.89369,-0.585606,0.000498394,0.00690372,0.0721695,0.000670964,0.000262105,0.00340031,0.000262105,0.00689287,-3.57345e-05,0.00340031,-3.57345e-05,0.0720078,0.998023,-0.041144,0.0475028,-0.0411736,-0.999152,-0.000356076,-0.0474772,0.00160049,0.998871,-16.6805,4.87856,-0.558277,0.00126062,0.00775277,0.0712523,0.00140614,0.000286113,0.0030937,0.000286113,0.0077663,0.00116963,0.0030937,0.00116963,0.0710932,0.998397,-0.0352118,0.0443182,-0.036065,-0.999176,0.0186019,-0.0436266,0.0201704,0.998844,-16.7125,4.76851,-0.58727,0.00112541,0.0110658,0.0710142,0.00123561,0.000358342,0.00272732,0.000358342,0.0114328,0.00468506,0.00272732,0.00468506,0.070537,-0.999123,0.0143664,0.0393377,0.0174256,0.996757,0.0785655,0.0380814,-0.0791821,0.996133,1
N1671.N77.P1009,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-16.7139,-0.772017,10.0923,0.00284745,0.0267376,0.450194,0.0030749,0.00854898,0.00112226,0.00854898,0.44995,-0.00588387,0.00112226,-0.00588387,0.0267547,0.998465,0.0519957,0.0190801,-0.0197724,0.0128326,0.999722,-0.0517364,0.998565,-0.013841,-16.7091,-0.675075,9.692,0.00296481,0.096571,1.01028,0.00302545,-0.000356965,0.00240968,-0.000356965,1.00517,-0.0681974,0.00240968,-0.0681974,0.101629,-0.999677,-0.0253933,-0.000532449,0.00136975,-0.0748334,0.997195,0.0253619,-0.996873,-0.074844,0
